UUID,PRODUCT_TYPE,PRODUCT_LAYOUT,PAGE_LOAD_TIME,PRODUCT_RATING,PURCHASE_DECISION,REVIEW_TEXT,REVIEW_QUALITY,REVIEW_SENTIMENT
144fe645-0a66-45e3-bcad-ef286f347236,Toys,Grid,0.61,3,0,Average product. Nothing special.,Fair,-0.15
6b12343f-8839-4a88-9446-61d3a205458d,Sports,Grid,3.16,1,0,Horrible experience. Don't buy this.,Poor,-0.98
226de14f-609c-4e7c-a41f-10d24435876f,Sports,List,3.72,5,0,Perfect! Exceeded my expectations.,Good,0.71
40c0318c-31d8-4db6-a7fc-110d0c3c3d7a,Electronics,List,3.64,3,1,Fair quality. Could be better.,Fair,-0.13
09adad92-ee2c-4d43-b7ff-1f0dddb5b9b9,Books,Grid,2.12,3,1,It's alright. Does the job.,Excellent,0.06
c7e8452a-27ca-44fb-bc8b-59311313d42e,Books,Grid,2.98,5,1,Amazing value for money. Very satisfied.,Good,0.94
183a9af3-c853-4874-969d-2c49f108af63,Electronics,List,3.98,1,1,Low quality materials. Avoid this.,Good,-0.49
69580bca-6f96-4ef1-8cf9-055843498e70,Toys,Card,1.23,3,1,Average product. Nothing special.,Fair,-0.17
ae814e2c-dee5-4c0d-9009-3c3311b7c3e9,Clothing,List,1.24,4,1,Superb quality and great design.,Excellent,0.63
3f76ced3-7941-4e05-b158-4b0f9e79626a,Home & Garden,Grid,1.53,1,1,Poor quality. Not worth the money.,Fair,-0.52
44bab22f-a50b-4bd1-901b-8a35c7cd153c,Sports,Card,1.46,4,1,Very happy with this purchase.,Excellent,0.7
9ca8a05f-62f8-492d-9be1-7f6fa96b1beb,Clothing,List,3.85,5,1,Absolutely love it! Five stars!,Good,0.63
8245f7ea-cdef-48cc-9260-45781712857f,Clothing,List,2.79,1,0,Terrible product. Would not recommend.,Good,-0.55
7358c744-485a-43a6-a1f7-45060987c7a6,Toys,Detailed,3.18,4,1,Superb quality and great design.,Excellent,0.69
76f58892-19a1-44ed-a80f-5e66106f2856,Sports,Grid,3.56,1,0,Not as described. Very disappointed.,Fair,-0.59
0b001013-9d8f-4700-91d5-ef0dcf5d8907,Home & Garden,Grid,1.82,2,0,Not as described. Very disappointed.,Excellent,-0.73
76ad5075-f213-4227-9412-0463d1aeaaac,Clothing,Grid,4.42,3,1,It works fine. No complaints.,Good,0.21
4bb0d7fa-db30-426a-aca1-137322eb6018,Clothing,Grid,3.2,4,1,Perfect! Exceeded my expectations.,Excellent,0.51
5059c6d3-cf2f-4599-a996-2211545db94e,Clothing,Grid,0.89,4,1,Superb quality and great design.,Excellent,0.91
af1300c6-ec8a-43b0-b622-406606ea256b,Clothing,Detailed,4.76,2,0,Low quality materials. Avoid this.,Good,-0.84
48c0e9af-62f5-4879-8888-2ed09b5c697a,Sports,List,3.71,4,0,Very happy with this purchase.,Excellent,1.0
63eb5321-c1ae-48e3-93b0-81385388f526,Books,Grid,1.62,1,0,Broke after a few uses. Very upset.,Fair,-0.8
8eb5065f-5dc9-4e83-a3f1-0b543a83295e,Electronics,Grid,3.69,1,1,Waste of money. Returning it.,Excellent,-0.86
c4c5e189-7755-4c2e-9a17-f66d16cfa65c,Clothing,Card,3.51,2,0,Defective product. Very frustrating.,Good,-0.68
bad661e7-3943-462e-b705-568efc635ae4,Clothing,Detailed,4.13,2,1,Waste of money. Returning it.,Fair,-0.94
bd0e9835-4611-466b-8cd0-1fe9a1598dba,Books,Grid,3.53,1,1,Poor quality. Not worth the money.,Good,-0.96
6fcf1d8c-770b-4d78-b6e3-19c87648b070,Clothing,Detailed,1.13,2,1,Poor quality. Not worth the money.,Poor,-0.83
68ac16b8-6644-4f30-8d10-998211fb6175,Sports,Grid,0.73,5,1,Amazing value for money. Very satisfied.,Excellent,0.92
791bc0d0-c021-4da2-bed9-87ba6de410c0,Books,Detailed,1.46,4,0,Great product! Highly recommend it.,Fair,0.95
9938f1d7-ae99-45a6-85f2-231c579bf9c4,Home & Garden,Detailed,1.78,5,1,Amazing value for money. Very satisfied.,Good,0.83
f5cab350-42fa-4a02-9c06-b78df19f79f0,Electronics,Grid,3.87,1,1,Horrible experience. Don't buy this.,Fair,-0.97
3c8f0f00-3bc1-424b-967e-1fd4a8ad343a,Sports,Grid,4.33,1,0,Broke after a few uses. Very upset.,Fair,-0.64
14fdb04f-f94a-4b21-9a32-35ee08cf1f7d,Sports,List,3.11,1,0,Defective product. Very frustrating.,Fair,-0.63
7cfb6e5e-bff5-4f9c-8c9f-5e3a2bec3447,Home & Garden,Card,1.42,3,1,Acceptable product. Met basic expectations.,Fair,-0.16
